Scenario,Files,Attributes,Policy,Setup Time (ms),Keygen Time (ms),Encrypt Time (ms),Decrypt Time (ms),MPK Size (Bytes),MSK Size (Bytes),SK Size (Bytes),CT Size (Bytes),Success Rate (%)
Fixed_Files_14_Attrs_6,14,6,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),14.62469802936539,40.76360404724255,185.01876899972558,202.10071903420612,1704,480,720,1297.0,100.0
Fixed_Files_14_Attrs_8,14,8,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),16.827533952891827,42.35150298336521,249.33552101720124,214.50888097751886,1704,480,900,1497.0,100.0
Fixed_Files_14_Attrs_10,14,10,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),15.681963006500155,52.17570601962507,296.56682402128354,219.43348395870999,1704,480,1080,1698.0,100.0
Fixed_Files_14_Attrs_12,14,12,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),13.803548004943877,114.02960697887465,261.3854619557969,315.36717899143696,1704,480,1260,1900.0,100.0
Fixed_Files_14_Attrs_14,14,14,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),14.241975033655763,84.24477698281407,298.62174997106194,307.5542990118265,1704,480,1440,2102.0,100.0
Fixed_Attrs_2_Files_2,2,2,(attr1 AND attr2),15.08032699348405,70.45862899394706,33.920284011401236,84.33458296349272,1704,480,360,897.0,100.0
Fixed_Attrs_2_Files_4,4,2,(attr1 AND attr2),14.244275982491672,114.75205101305619,50.79102097079158,140.6067400239408,1704,480,360,897.0,100.0
Fixed_Attrs_2_Files_6,6,2,(attr1 AND attr2),13.545932015404105,42.44800901506096,64.63567196624354,82.78478699503466,1704,480,360,897.0,100.0
Fixed_Attrs_2_Files_8,8,2,(attr1 AND attr2),14.38188401516527,117.26180603727698,84.3891849508509,175.5162850022316,1704,480,360,897.0,100.0
Fixed_Attrs_2_Files_10,10,2,(attr1 AND attr2),14.390685013495386,57.263019029051065,104.17130100540817,129.26494295243174,1704,480,360,897.0,100.0
Fixed_Attrs_2_Files_12,12,2,(attr1 AND attr2),13.883552979677916,94.52670899918303,128.75171098858118,183.76169202383608,1704,480,360,897.0,100.0
Fixed_Attrs_2_Files_14,14,2,(attr1 AND attr2),21.3409120333381,105.07485695416108,187.10029701469466,212.0211289729923,1704,480,360,897.0,100.0
Fixed_Attrs_4_Files_2,2,4,(attr1 AND attr2 AND attr3 AND attr4),15.043725026771426,145.2054230030626,40.9029129659757,161.37891699327156,1704,480,540,1097.0,100.0
Fixed_Attrs_4_Files_4,4,4,(attr1 AND attr2 AND attr3 AND attr4),14.97602101881057,80.69175796117634,59.83547697542235,116.23334197793156,1704,480,540,1097.0,100.0
Fixed_Attrs_4_Files_6,6,4,(attr1 AND attr2 AND attr3 AND attr4),15.440649003721774,264.7677229833789,84.95851600309834,319.4994729710743,1704,480,540,1097.0,100.0
Fixed_Attrs_4_Files_8,8,4,(attr1 AND attr2 AND attr3 AND attr4),13.803019013721496,58.142152964137495,95.54167400347069,134.29927499964833,1704,480,540,1097.0,100.0
Fixed_Attrs_4_Files_10,10,4,(attr1 AND attr2 AND attr3 AND attr4),14.509461005218327,57.31140403077006,122.92630004230887,143.58532696496695,1704,480,540,1097.0,100.0
Fixed_Attrs_4_Files_12,12,4,(attr1 AND attr2 AND attr3 AND attr4),14.824880985543132,134.24547197064385,152.71776902955025,295.4891470144503,1704,480,540,1097.0,100.0
Fixed_Attrs_4_Files_14,14,4,(attr1 AND attr2 AND attr3 AND attr4),15.649228997062892,97.76240499923006,212.0262910029851,260.32195903826505,1704,480,540,1097.0,100.0
Fixed_Attrs_6_Files_2,2,6,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),13.543203996960074,50.45889696339145,38.24737103423104,70.81700500566512,1704,480,720,1297.0,100.0
Fixed_Attrs_6_Files_4,4,6,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),16.096856037620455,30.615117982961237,68.25955398380756,69.32221702300012,1704,480,720,1297.0,100.0
Fixed_Attrs_6_Files_6,6,6,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),16.995809972286224,55.90262002078816,99.17719004442915,129.90141398040578,1704,480,720,1297.0,100.0
Fixed_Attrs_6_Files_8,8,6,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),17.550743010360748,53.71718999231234,123.14791296375915,138.64303298760206,1704,480,720,1297.0,100.0
Fixed_Attrs_6_Files_10,10,6,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),15.41331602493301,37.385119998361915,147.23804401000962,141.38049498433247,1704,480,720,1297.0,100.0
Fixed_Attrs_6_Files_12,12,6,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),14.299748989287764,36.738981027156115,179.33714896207675,188.6935049551539,1704,480,720,1297.0,100.0
Fixed_Attrs_6_Files_14,14,6,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),14.710973016917706,40.761619980912656,206.54096599901095,186.9854039978236,1704,480,720,1297.0,100.0
Fixed_Attrs_8_Files_2,2,8,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),14.794878952670842,112.74079501163214,47.615027986466885,134.46468504844233,1704,480,900,1497.0,100.0
Fixed_Attrs_8_Files_4,4,8,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),14.410655945539474,36.038940015714616,73.4889640007168,101.6157339909114,1704,480,900,1497.0,100.0
Fixed_Attrs_8_Files_6,6,8,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),19.411453045904636,85.79409500816837,117.91970301419497,160.55903496453539,1704,480,900,1497.0,100.0
Fixed_Attrs_8_Files_8,8,8,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),23.769611958414316,59.09520899876952,237.71131597459316,182.3987319949083,1704,480,900,1497.0,100.0
Fixed_Attrs_8_Files_10,10,8,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),23.16237601917237,93.1160289910622,248.450253973715,211.78147703176364,1704,480,900,1497.0,100.0
Fixed_Attrs_8_Files_12,12,8,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),15.050093992613256,37.49502601567656,198.91021196963266,184.17713697999716,1704,480,900,1497.0,100.0
Fixed_Attrs_8_Files_14,14,8,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),15.209403005428612,108.65305201150477,236.58444901229814,284.163374977652,1704,480,900,1497.0,100.0
Fixed_Attrs_10_Files_2,2,10,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),15.046692977193743,74.89212404470891,48.639889049809426,102.11707802955061,1704,480,1080,1698.0,100.0
Fixed_Attrs_10_Files_4,4,10,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),14.939997985493392,121.3970819953829,83.74397200532258,172.76522499741986,1704,480,1080,1698.0,100.0
Fixed_Attrs_10_Files_6,6,10,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),14.144054963253438,99.89793499698862,107.69685101695359,188.63967299694195,1704,480,1080,1698.0,100.0
Fixed_Attrs_10_Files_8,8,10,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),14.293163025286049,101.49992100195959,151.17417194414884,207.4481780291535,1704,480,1080,1698.0,100.0
