Files,Attributes,Policy,Setup Time (s),Keygen Time (s),Encrypt Time (s),Decrypt Time (s),MPK Size (Bytes),MSK Size (Bytes),SK Size (Bytes),CT Size (Bytes),Success Rate (%)
4,10,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10) OR L3: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10) OR L4: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10),0.0025129795074462892,0.0028934478759765625,0.0019016265869140625,0.000652015209197998,3840,600,1800,2052,100.0
4,12,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12) OR L3: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12) OR L4: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12),0.002556184927622477,0.002847731113433838,0.0017832517623901367,0.0006582736968994141,4608,720,2160,2196,100.0
4,14,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12 AND attr13@AUTH13 AND attr14@AUTH14) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12 AND attr13@AUTH13 AND attr14@AUTH14) OR L3: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12 AND attr13@AUTH13 AND attr14@AUTH14) OR L4: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12 AND attr13@AUTH13 AND attr14@AUTH14),0.0025360584259033203,0.002777491297040667,0.0018936991691589355,0.0006665587425231934,5376,840,2520,2340,100.0
4,16,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12 AND attr13@AUTH13 AND attr14@AUTH14 AND attr15@AUTH15 AND attr16@AUTH16) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12 AND attr13@AUTH13 AND attr14@AUTH14 AND attr15@AUTH15 AND attr16@AUTH16) OR L3: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12 AND attr13@AUTH13 AND attr14@AUTH14 AND attr15@AUTH15 AND attr16@AUTH16) OR L4: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12 AND attr13@AUTH13 AND attr14@AUTH14 AND attr15@AUTH15 AND attr16@AUTH16),0.002500757575035095,0.0028583109378814697,0.0017261505126953125,0.0006651878356933594,6144,960,2880,2484,100.0
6,2,L1: (attr1@AUTH1 AND attr2@AUTH2) OR L2: (attr1@AUTH1 AND attr2@AUTH2) OR L3: (attr1@AUTH1 AND attr2@AUTH2) OR L4: (attr1@AUTH1 AND attr2@AUTH2) OR L5: (attr1@AUTH1 AND attr2@AUTH2) OR L6: (attr1@AUTH1 AND attr2@AUTH2),0.0026421546936035156,0.0029810667037963867,0.0019379059473673503,0.0006725788116455078,768,120,360,2298,100.0
6,4,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4) OR L3: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4) OR L4: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4) OR L5: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4) OR L6: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4),0.002561509609222412,0.002768397331237793,0.0019133488337198894,0.0007035334904988607,1536,240,720,2490,100.0
6,6,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6) OR L3: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6) OR L4: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6) OR L5: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6) OR L6: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6),0.002521514892578125,0.0026514132817586264,0.0019154548645019531,0.0006523927052815756,2304,360,1080,2682,100.0
6,8,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8) OR L3: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8) OR L4: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8) OR L5: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8) OR L6: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8),0.002506464719772339,0.002838343381881714,0.001965125401814779,0.0007350842157999674,3072,480,1440,2874,100.0
6,10,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10) OR L3: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10) OR L4: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10) OR L5: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10) OR L6: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10),0.002541637420654297,0.0027786970138549806,0.0018138488133748372,0.0006591081619262695,3840,600,1800,3078,100.0
6,12,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12) OR L3: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12) OR L4: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12) OR L5: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12) OR L6: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12),0.002529780069986979,0.0028533339500427246,0.0017875035603841145,0.000667572021484375,4608,720,2160,3294,100.0
