Files,Attributes,Policy,Global Setup (s),WGA Global Setup (s),GA Setup (s),WGA GA Setup (s),AA Setup (s),WAA Setup (s),Encrypt Off (s),Encrypt On (s),WDO Encrypt Off (s),WDO Encrypt On (s),GA Keygen Off (s),WGA GA Keygen Off (s),WGA GA Keygen On (s),AA Keygen Off (s),AA Keygen On (s),WAA Keygen Off (s),WAA Keygen On (s),Keygen Ran (s),WDU TK Update (s),Decrypt Out (s),WDU Decrypt (s),Decrypt User (s),GPK Size (Bytes),GMK Size (Bytes),CT Size (Bytes),UGSK Size (Bytes),UASK Size (Bytes),Success Rate (%)
4,8,L1: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7) OR L2: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7) OR L3: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7) OR L4: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7),0.004864420000103564,0.005480400000215014,0.00013794999977108092,0.00011788000001615729,0.0018111299999873155,0.0019228000000111934,0.022952985049914786,0.013927990150045843,0.021249400049941868,0.014086152500021853,0.0035439700001916206,0.003696600000057515,0.0010423100001389685,0.015543910100041103,0.007095500100149366,0.015016850000029081,0.007170159999986936,0.016980689999854803,0.01724339010006588,0.01893429005001508,8.898250011952768e-05,9.252750005543931e-05,174,30,9696,270,1440,100.0
4,10,L1: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9) OR L2: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9) OR L3: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9) OR L4: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9),0.005096160000175587,0.00553529000007984,0.00015920999994705197,0.00011998999980278313,0.0019324100000631006,0.0019610700000157522,0.030332672725080556,0.017785247599977082,0.028171150149955793,0.01830647257504552,0.0036329700998976476,0.0037993500001903156,0.001032859999941138,0.019883350099826204,0.008869510000022274,0.01828347009995923,0.008570729999973992,0.01936442010010069,0.019916750099764614,0.02443588767498568,8.975749999535765e-05,9.231999995336082e-05,174,30,11856,270,1800,100.0
4,12,L1: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11) OR L2: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11) OR L3: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11) OR L4: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11),0.0047103500000957865,0.0051538699999582605,0.00012328000002526096,0.0001001100001303712,0.0018498800000998016,0.0019552600000679377,0.03284869509993769,0.020599487625077018,0.031971012625058394,0.020422245024974472,0.0033306899999843154,0.0034240800001498427,0.0009808100000554987,0.021811540000089735,0.0102726299999631,0.021298639999804435,0.00994003010018787,0.022150980000060373,0.02221908009978506,0.02626947507510522,8.264750003945664e-05,8.662499999445572e-05,174,30,14016,270,2160,100.0
4,14,L1: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11 AND 12 AND 13) OR L2: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11 AND 12 AND 13) OR L3: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11 AND 12 AND 13) OR L4: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11 AND 12 AND 13),0.004567590099850349,0.00550420009985828,0.00015030000004117027,0.00010385999994468875,0.0019350000003214517,0.0020466801001930435,0.03759710599993014,0.023264160549979353,0.03559272607496951,0.023232108049955968,0.0033573301000615176,0.0036514903000352205,0.0011099899999862828,0.024888970700067146,0.012234860099761135,0.024330000800000563,0.011306780200084177,0.025321720800093317,0.02496043079991068,0.029700168349972956,7.696999996369414e-05,8.184750015516329e-05,174,30,16176,270,2520,100.0
6,2,L1: (0 AND 1) OR L2: (0 AND 1) OR L3: (0 AND 1) OR L4: (0 AND 1) OR L5: (0 AND 1) OR L6: (0 AND 1),0.004555500099831989,0.005173560299954261,0.00012997999983781482,0.00010465000004842296,0.0017851899999186572,0.0017836300000453776,0.006248650200056242,0.0037885751166565266,0.006514966900037204,0.0035214918000595692,0.0033852502001536777,0.003532640100183926,0.0009604500000023108,0.0038305902001411598,0.0018832601000212889,0.0038102202001027764,0.0018444499999532126,0.00614001020003343,0.00622600019987658,0.0054115602000213885,8.609501666493695e-05,9.457833322509638e-05,174,30,4824,270,360,100.0
6,4,L1: (0 AND 1 AND 2 AND 3) OR L2: (0 AND 1 AND 2 AND 3) OR L3: (0 AND 1 AND 2 AND 3) OR L4: (0 AND 1 AND 2 AND 3) OR L5: (0 AND 1 AND 2 AND 3) OR L6: (0 AND 1 AND 2 AND 3),0.004602700299892603,0.005136860600032378,0.00013842000007571186,0.00010677999980543973,0.0018206402999567217,0.0017653099999733967,0.011660371133257286,0.007237834150115911,0.010991676066654084,0.006690357416664483,0.0032255404000352426,0.0032103503000143973,0.0008484901000883838,0.007616350799980865,0.0036900801999763646,0.007255690899910405,0.003493940400039719,0.009890891000031843,0.009044940999956452,0.00952934928339649,8.127335001214911e-05,8.89966666818509e-05,174,30,8064,270,720,100.0
6,6,L1: (0 AND 1 AND 2 AND 3 AND 4 AND 5) OR L2: (0 AND 1 AND 2 AND 3 AND 4 AND 5) OR L3: (0 AND 1 AND 2 AND 3 AND 4 AND 5) OR L4: (0 AND 1 AND 2 AND 3 AND 4 AND 5) OR L5: (0 AND 1 AND 2 AND 3 AND 4 AND 5) OR L6: (0 AND 1 AND 2 AND 3 AND 4 AND 5),0.004647930400096811,0.005144680599823914,0.00013161000006221003,0.00010121999994225917,0.0018481103999874904,0.0019059600002947264,0.017627651949987923,0.01030976780001159,0.015623241700025877,0.00995513773333793,0.003218660299990006,0.003389680400141515,0.0010493302001123085,0.012057701099820406,0.005246150600305555,0.011587861199950566,0.005543150500034244,0.012902761199984524,0.012138181200043618,0.013701084783360785,8.382001660720562e-05,8.853000002394159e-05,174,30,11304,270,1080,100.0
6,8,L1: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7) OR L2: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7) OR L3: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7) OR L4: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7) OR L5: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7) OR L6: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7),0.004766250399734417,0.005256400400048733,0.00012310000010984368,9.87699999313918e-05,0.0018152000999180017,0.001776979999795003,0.022655292766664087,0.013523655716714227,0.02069684768333294,0.013697522299905056,0.003413170500061824,0.003415510099966923,0.0010395401998721354,0.015046200699998735,0.006977630300025339,0.014753460800056928,0.006866930200158094,0.01599321100002271,0.01589821059988026,0.018081834216627613,8.277666665890138e-05,8.679833322275954e-05,174,30,14544,270,1440,100.0
6,10,L1: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9) OR L2: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9) OR L3: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9) OR L4: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9) OR L5: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9) OR L6: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9),0.004549350099841832,0.005435190400203282,0.00013512999985323403,0.00010487999988981756,0.00184955019994959,0.001773900300031528,0.027617630116568155,0.016709537749996645,0.025953345016644865,0.016869206099984997,0.003296040000168432,0.0033183802997882594,0.0009668200999840337,0.018355671300105313,0.008537190299921348,0.018055091399855883,0.008369010499973229,0.018890651099991374,0.018958081399978254,0.022051986416681758,7.995500000106404e-05,8.450838328523483e-05,174,30,17784,270,1800,100.0
6,12,L1: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11) OR L2: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11) OR L3: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11) OR L4: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11) OR L5: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11) OR L6: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11),0.00467166010002984,0.005211650100045517,0.00011299000016151695,9.595999999874038e-05,0.0020723800000268964,0.0018350299998928677,0.03294192233332372,0.019760633716668963,0.03063801393339721,0.019831337033307743,0.003248049999911018,0.0032363699998313677,0.0008743000000322354,0.021680000500145978,0.01016167020015928,0.021060200200190594,0.00972233000002234,0.021807750399875658,0.02210980030022256,0.02595170373333531,7.795499994548056e-05,8.587166676079505e-05,174,30,21024,270,2160,100.0
